帧号,标记ID,X坐标原始(mm),Y坐标原始(mm),X坐标滤波(mm),Y坐标滤波(mm),时间戳(秒)
547,0,1105.666,-1.613,1110.0,0.0,9.1
548,0,1112.76,-0.941,1111.667,0.0,9.1167
549,0,1113.44,-0.535,1113.333,0.0,9.1333
550,0,1115.784,1.869,1115.0,0.0,9.15
551,0,1115.138,3.792,1116.667,0.0,9.1667
552,0,1117.988,2.601,1118.333,0.0,9.1833
553,0,1120.282,-2.812,1120.0,0.0,9.2
554,0,1119.018,1.741,1121.667,0.0,9.2167
555,0,1124.254,0.847,1123.333,0.0,9.2333
556,0,1124.904,-0.07,1125.0,0.0,9.25
557,0,1124.177,0.594,1126.667,0.0,9.2667
558,0,1128.806,3.014,1128.333,0.0,9.2833
559,0,1128.739,3.541,1130.0,0.0,9.3
560,0,1132.712,2.109,1131.667,0.0,9.3167
561,0,1128.824,-2.563,1133.333,0.0,9.3333
562,0,1132.783,0.975,1135.0,0.0,9.35
563,0,1134.646,1.737,1136.667,0.0,9.3667
564,0,1130.488,1.228,1138.333,0.0,9.3833
565,0,1139.749,2.864,1140.0,0.0,9.4
566,0,1144.269,-3.337,1141.667,0.0,9.4167
567,0,1144.174,-2.174,1143.333,0.0,9.4333
568,0,1146.851,-1.5,1145.0,0.0,9.45
569,0,1146.974,0.169,1146.667,0.0,9.4667
570,0,1150.363,3.577,1148.333,0.0,9.4833
571,0,1149.397,-0.977,1150.0,0.0,9.5
572,0,1151.928,-1.009,1151.667,0.0,9.5167
573,0,1156.478,2.161,1153.333,0.0,9.5333
574,0,1157.458,-0.126,1155.0,0.0,9.55
575,0,1155.908,-1.586,1156.667,0.0,9.5667
576,0,1151.943,-1.594,1158.333,0.0,9.5833
577,0,1160.624,6.168,1160.0,0.0,9.6
578,0,1159.688,-5.096,1161.667,0.0,9.6167
579,0,1163.109,0.416,1163.333,0.0,9.6333
580,0,1169.458,1.39,1165.0,0.0,9.65
581,0,1165.543,1.174,1166.667,0.0,9.6667
582,0,1168.336,2.299,1168.333,0.0,9.6833
583,0,1168.432,3.104,1170.0,0.0,9.7
584,0,1170.584,-3.003,1171.667,0.0,9.7167
585,0,1173.215,0.108,1173.333,0.0,9.7333
586,0,1176.648,0.833,1175.0,0.0,9.75
587,0,1177.395,2.242,1176.667,0.0,9.7667
588,0,1178.263,1.461,1178.333,0.0,9.7833
589,0,1177.256,0.731,1180.0,0.0,9.8
590,0,1181.057,-2.734,1181.667,0.0,9.8167
591,0,1181.363,0.455,1183.333,0.0,9.8333
592,0,1185.11,-0.848,1185.0,0.0,9.85
593,0,1188.592,1.433,1186.667,0.0,9.8667
594,0,1185.712,-3.098,1188.333,0.0,9.8833
595,0,1192.838,2.397,1190.0,0.0,9.9
596,0,1190.288,-1.818,1191.667,0.0,9.9167
597,0,1192.642,-2.365,1193.333,0.0,9.9333
598,0,1198.709,-0.732,1195.0,0.0,9.95
599,0,1196.783,0.75,1196.667,0.0,9.9667
600,0,1195.779,1.127,1198.333,0.0,9.9833
